"Liefertermin Dienstag 27.11.07",,,,
,,,,
"Anzahl","WHS - Profile ",,"Anzahl","WHS - Profile"
,,,,
1,4496,,6,485
1,3200,,6,430
1,3000,,6,380
1,2926,,,
2,2846,,,
4,2696,,,
6,2573,,"105 St.",
2,2298,,,
4,2176,,,
4,2128,,,
1,2100,,,
8,2093,,,
2,2086,,,
2,2036,,,
1,1950,,,
1,1946,,,
4,1863,,,
1,1798,,,
2,1796,,,
1,1650,,,
2,1520,,,
1,1510,,,
1,1450,,,
1,1400,,,
1,1350,,,
2,1200,,,
1,1198,,,
7,1196,,,
3,1050,,,
2,925,,,
1,898,,,
3,896,,,
8,813,,,
2,720,,,
1,600,,,
2,596,,,
